annee,saison,province,culture,altitude_m,pluviometrie_mm,temperature_moy_C,superficie_ha,utilisation_engrais,acces_irrigation,nb_menages,rendement_t_ha,production_totale_t,bonne_recolte
2015,A,Muyinga,Sorgho,1526,1143.6,21.6,2.0,0,0,163,1.06,2.12,1
2015,A,Muyinga,Bananier,1483,830.8,21.4,1.3,0,0,91,7.35,9.55,1
2015,A,Kirundo,Maïs,1381,502.0,22.1,4.48,1,0,82,1.36,6.09,1
2015,A,Kirundo,Haricot,1436,1004.0,21.8,2.87,0,0,17,0.59,1.69,0
2015,A,Kirundo,Manioc,1393,979.4,21.2,0.78,1,0,84,11.96,9.33,1
2015,A,Kirundo,Patate douce,1444,1003.1,19.5,3.85,1,0,85,8.59,33.07,1
2015,A,Kirundo,Sorgho,1413,989.0,22.0,3.26,0,0,53,0.7,2.28,0
2015,A,Kirundo,Bananier,1419,856.6,20.0,4.38,1,0,78,9.99,43.76,1
2015,A,Kayanza,Maïs,2002,1147.1,19.1,4.19,1,0,60,2.17,9.09,1
2015,A,Kayanza,Haricot,2035,933.5,20.2,1.42,0,0,24,0.74,1.05,1
2015,A,Kayanza,Manioc,2008,820.0,20.5,3.96,1,0,117,10.46,41.42,1
2015,A,Kayanza,Patate douce,2001,1161.5,18.7,1.69,1,0,81,7.81,13.2,1
2015,A,Kayanza,Sorgho,1963,857.4,19.0,3.6,0,0,44,,,
2015,A,Kayanza,Bananier,2018,1054.8,18.5,3.4,1,0,99,7.75,26.35,1
2015,A,Muramvya,Maïs,1788,761.6,20.0,1.67,0,0,64,1.06,1.77,1
2015,A,Muramvya,Haricot,1788,1076.0,18.8,1.58,1,0,170,1.3,2.05,1
2015,A,Muramvya,Manioc,1777,726.2,20.0,4.33,0,0,87,6.75,29.23,0
2015,A,Muramvya,Patate douce,1836,925.3,19.3,0.92,1,0,171,9.29,8.55,1
2015,A,Muramvya,Sorgho,1830,771.7,19.3,1.91,0,0,16,1.18,2.25,1
2015,A,Muramvya,Bananier,1839,793.2,19.6,1.35,0,0,133,6.22,8.4,1
2015,A,Mwaro,Maïs,1996,1078.1,18.7,3.32,0,0,155,1.46,4.85,1
2015,A,Mwaro,Haricot,1981,972.6,19.2,2.34,1,0,88,1.31,3.07,1
2015,A,Mwaro,Manioc,1910,1001.7,20.1,3.21,0,1,119,10.97,35.21,1
2015,A,Mwaro,Patate douce,1998,1067.3,18.3,3.9,0,0,16,5.83,22.74,1
2015,A,Mwaro,Sorgho,1953,757.8,19.2,3.66,0,0,84,0.98,3.59,1
2015,A,Mwaro,Bananier,1921,957.5,20.6,4.42,,0,166,5.35,23.65,1
2015,A,Bubanza,Maïs,747,938.3,23.1,1.39,1,0,112,1.49,2.07,1
2015,A,Bubanza,Haricot,825,1181.5,19.9,1.77,0,0,22,,,
2015,A,Bubanza,Manioc,749,897.2,24.4,0.78,0,0,109,8.86,6.91,1
2015,A,Bubanza,Patate douce,769,1031.1,23.6,1.61,0,0,65,6.16,9.92,1
2015,A,Bubanza,Sorgho,743,854.0,22.9,3.17,0,0,25,0.77,2.44,1
2015,A,Bubanza,Bananier,783,993.1,23.6,4.34,0,0,126,6.2,26.91,1
2015,A,Cibitoke,Maïs,828,944.7,22.3,2.33,0,0,77,1.2,2.8,1
2015,A,Cibitoke,Haricot,828,846.7,22.9,2.38,1,0,81,0.81,1.93,1
2015,A,Cibitoke,Manioc,785,753.4,23.1,1.1,1,0,76,10.07,11.08,1
2015,A,Cibitoke,Patate douce,778,727.9,22.9,3.09,0,0,155,5.61,17.33,1
2015,A,Cibitoke,Sorgho,782,912.5,24.7,1.63,0,0,64,0.86,1.4,1
2015,A,Cibitoke,Bananier,786,1024.3,24.9,1.54,0,1,151,7.91,12.18,1
2015,A,Makamba,Maïs,1087,884.1,22.0,3.95,0,0,161,1.11,4.38,1
2015,A,Makamba,Haricot,1111,1039.3,22.5,2.37,0,0,53,0.73,1.73,1
2015,A,Makamba,Manioc,1081,1054.2,23.3,2.85,0,0,148,7.42,21.15,1
2015,A,Makamba,Patate douce,1122,1085.3,21.5,3.41,0,0,69,5.79,19.74,1
2015,A,Makamba,Sorgho,1120,913.8,22.3,2.19,0,0,74,0.84,1.84,1
2015,A,Makamba,Bananier,1083,999.2,22.7,3.08,0,0,154,5.64,17.37,1
2015,A,Rutana,Maïs,1168,973.5,22.3,1.59,0,0,88,1.04,1.65,1
2015,A,Rutana,Haricot,1219,,21.6,0.47,0,0,79,0.7,0.33,1
2015,A,Rutana,Manioc,1223,890.2,21.8,3.51,0,0,59,7.15,25.1,1
2015,A,Rutana,Patate douce,1231,943.7,22.7,2.27,0,0,41,4.32,9.81,0
2015,A,Rutana,Sorgho,1186,845.9,21.4,3.49,1,1,79,1.31,4.57,1
2015,A,Rutana,Bananier,1234,1196.6,22.5,0.53,0,0,142,6.62,3.51,1
2015,A,Ruyigi,Maïs,1370,985.8,21.9,4.0,0,1,176,1.42,5.68,1
2015,A,Ruyigi,Haricot,1311,859.5,21.9,0.78,0,0,54,0.82,0.64,1
2015,A,Ruyigi,Manioc,1334,797.9,22.0,2.28,0,0,63,9.15,20.86,1
2015,A,Ruyigi,Patate douce,1353,850.2,20.7,1.42,1,0,165,8.88,12.61,1
2015,A,Ruyigi,Sorgho,1357,810.7,21.3,2.62,0,0,97,1.05,2.75,1
2015,A,Ruyigi,Bananier,1352,671.1,22.8,3.26,0,0,53,5.99,19.53,1
2015,A,Cankuzo,Maïs,1425,894.1,21.6,3.85,1,0,18,1.54,5.93,1
2015,A,Cankuzo,Haricot,1383,797.7,20.7,3.03,0,0,151,0.76,2.3,1
2015,A,Cankuzo,Manioc,1447,773.0,21.3,2.89,1,0,88,12.57,36.33,1
2015,A,Cankuzo,Patate douce,1362,914.9,20.3,4.09,1,0,90,8.54,34.93,1
2015,A,Cankuzo,Sorgho,1402,725.3,20.8,1.01,1,0,173,1.04,1.05,1
2015,A,Cankuzo,Bananier,1408,791.8,21.3,3.68,0,0,55,6.25,23.0,1
2015,A,Bururi,Maïs,1888,863.4,19.1,1.35,0,0,113,1.45,1.96,1
2015,A,Bururi,Haricot,1939,901.6,18.9,3.06,1,0,27,1.35,4.13,1
2015,A,Bururi,Manioc,1886,958.3,19.1,3.67,1,0,79,11.36,41.69,1
2015,A,Bururi,Patate douce,1930,774.2,19.1,2.15,0,0,38,5.18,11.14,1
2015,A,Bururi,Sorgho,1875,1044.5,20.5,4.38,0,0,57,1.14,4.99,1
2015,A,Bururi,Bananier,1893,1168.4,20.0,0.62,0,0,116,6.64,4.12,1
2015,B,Bujumbura Rural,Maïs,850,837.6,23.3,2.21,,0,178,1.16,2.56,1
2015,B,Bujumbura Rural,Haricot,871,697.3,22.6,3.02,0,0,119,0.71,2.14,1
2015,B,Bujumbura Rural,Manioc,863,769.1,23.5,2.56,0,1,153,8.42,21.56,1
2015,B,Bujumbura Rural,Patate douce,862,794.6,21.7,1.47,0,1,128,5.98,8.79,1
2015,B,Bujumbura Rural,Sorgho,887,570.7,24.3,3.01,1,1,46,1.39,4.18,1
2015,B,Bujumbura Rural,Bananier,802,653.4,24.0,4.45,0,1,156,7.09,31.55,1
2015,B,Gitega,Maïs,1732,776.2,18.8,2.8,1,0,48,1.57,4.4,1
2015,B,Gitega,Haricot,1735,704.7,20.4,1.66,1,1,122,1.23,2.04,1
2015,B,Gitega,Manioc,1789,,20.9,2.2,1,0,148,10.03,22.07,1
2015,B,Gitega,Patate douce,1744,885.9,19.8,4.12,1,1,170,9.41,38.77,1
2015,B,Gitega,Sorgho,1764,665.9,19.9,4.48,0,0,169,0.8,3.58,1
2015,B,Gitega,Bananier,1760,825.8,20.0,2.2,1,0,131,8.12,17.86,1
2015,B,Ngozi,Maïs,1640,696.4,19.9,0.94,0,1,36,1.7,1.6,1
2015,B,Ngozi,Haricot,1675,771.9,21.4,3.11,0,0,123,0.75,2.33,1
2015,B,Ngozi,Manioc,1676,729.2,20.8,2.43,1,0,42,10.11,24.57,1
2015,B,Ngozi,Patate douce,1654,849.2,21.7,3.74,0,0,21,4.28,16.01,0
2015,B,Ngozi,Sorgho,1603,810.1,21.8,1.6,1,1,51,1.62,2.59,1
2015,B,Ngozi,Bananier,1695,706.8,19.6,2.21,1,0,98,7.95,17.57,1
2015,B,Muyinga,Maïs,1456,831.9,22.3,0.51,1,0,123,1.35,0.69,1
2015,B,Muyinga,Haricot,1505,749.9,21.9,2.79,0,0,71,,,
2015,B,Muyinga,Manioc,1488,900.3,20.6,3.51,1,0,142,11.76,41.28,1
2015,B,Muyinga,Patate douce,1535,679.2,21.0,3.92,1,1,34,8.81,34.54,1
2015,B,Muyinga,Sorgho,1540,689.0,20.4,2.0,0,0,173,0.82,1.64,1
2015,B,Muyinga,Bananier,1505,778.2,20.2,1.96,1,0,100,7.93,15.54,1
2015,B,Kirundo,Maïs,1447,520.9,21.1,1.77,0,0,52,0.97,1.72,0
2015,B,Kirundo,Haricot,1463,794.6,22.9,2.94,0,0,163,0.73,2.15,1
2015,B,Kirundo,Manioc,1461,826.5,21.1,4.38,1,0,135,10.53,46.12,1
2015,B,Kirundo,Patate douce,1419,766.9,21.1,1.85,1,0,38,7.59,14.04,1
2015,B,Kirundo,Sorgho,1450,895.2,20.8,0.47,0,0,63,0.83,0.39,1
2015,B,Kirundo,Bananier,1423,839.3,21.6,3.01,1,0,127,8.42,25.34,1
2015,B,Kayanza,Maïs,1986,628.3,20.3,3.15,1,0,100,1.77,5.58,1
2015,B,Kayanza,Haricot,2034,779.3,20.3,0.93,1,0,104,1.05,0.98,1
2015,B,Kayanza,Manioc,1966,563.6,18.4,1.6,0,0,47,6.41,10.26,0
2015,B,Kayanza,Patate douce,2032,596.5,18.8,0.38,1,0,102,6.22,2.36,1
2015,B,Kayanza,Sorgho,1967,805.8,20.0,3.61,0,0,149,1.14,4.12,1
2015,B,Kayanza,Bananier,1970,780.1,20.0,2.92,0,0,26,7.24,21.14,1
2015,B,Muramvya,Maïs,1806,623.9,19.1,3.59,1,0,135,1.77,6.35,1
2015,B,Muramvya,Haricot,1848,716.7,19.7,2.52,0,0,169,0.85,2.14,1
2015,B,Muramvya,Manioc,1797,708.1,19.9,3.85,0,0,56,7.72,29.72,1
2015,B,Muramvya,Patate douce,1778,966.0,20.7,4.21,0,0,110,4.91,20.67,1
2015,B,Muramvya,Sorgho,1753,731.0,20.5,3.3,1,0,24,1.3,4.29,1
2015,B,Muramvya,Bananier,1807,935.4,18.7,0.38,1,0,170,7.84,2.98,1
2015,B,Mwaro,Maïs,1938,810.7,19.9,2.98,0,1,142,1.72,5.13,1
2015,B,Mwaro,Haricot,1954,747.8,20.2,2.7,1,0,149,1.06,2.86,1
2015,B,Mwaro,Manioc,1964,,18.5,0.39,0,1,114,10.92,4.26,1
2015,B,Mwaro,Patate douce,1993,750.6,19.2,2.74,0,0,105,5.31,14.55,1
2015,B,Mwaro,Sorgho,1999,647.8,17.3,2.31,1,0,132,1.32,3.05,1
2015,B,Mwaro,Bananier,1939,773.0,17.1,2.58,1,0,63,7.82,20.18,1
2015,B,Bubanza,Maïs,813,687.1,23.6,1.85,0,0,113,0.97,1.79,0
2015,B,Bubanza,Haricot,764,765.1,23.9,0.63,0,0,97,0.48,0.3,0
2015,B,Bubanza,Manioc,787,627.3,22.9,3.2,0,1,105,8.45,27.04,1
2015,B,Bubanza,Patate douce,815,642.0,22.8,3.66,0,0,170,4.64,16.98,0
2015,B,Bubanza,Sorgho,760,727.4,22.7,1.91,0,0,109,0.66,1.26,0
2015,B,Bubanza,Bananier,813,834.8,22.9,0.41,1,0,45,10.07,4.13,1
2015,B,Cibitoke,Maïs,828,663.7,25.0,2.36,1,0,128,1.59,3.75,1
2015,B,Cibitoke,Haricot,840,710.5,24.1,4.04,0,0,178,0.64,2.59,1
2015,B,Cibitoke,Manioc,775,730.2,22.8,2.37,0,0,156,9.15,21.69,1
2015,B,Cibitoke,Patate douce,811,863.6,21.9,3.76,1,0,130,7.62,28.65,1
2015,B,Cibitoke,Sorgho,849,587.7,22.8,3.52,1,0,46,0.9,3.17,1
2015,B,Cibitoke,Bananier,816,703.0,24.5,1.35,0,0,92,4.75,6.41,0
2015,B,Makamba,Maïs,1125,779.0,22.1,3.07,0,0,159,1.37,4.21,1
2015,B,Makamba,Haricot,1083,774.4,21.6,2.05,0,0,175,0.52,1.07,0
2015,B,Makamba,Manioc,1081,774.4,21.3,1.55,1,1,127,12.8,19.84,1
2015,B,Makamba,Patate douce,1090,780.1,22.2,4.4,1,0,158,6.16,27.1,1
2015,B,Makamba,Sorgho,1107,724.9,22.7,1.52,0,0,78,1.01,1.54,1
2015,B,Makamba,Bananier,1074,672.9,22.5,2.46,0,0,20,4.85,11.93,0
2015,B,Rutana,Maïs,1180,747.5,22.8,0.51,0,0,135,1.06,0.54,1
2015,B,Rutana,Haricot,1196,740.3,22.1,1.98,0,0,156,0.54,1.07,0
2015,B,Rutana,Manioc,1220,673.0,24.3,3.16,1,0,115,7.99,25.25,1
2015,B,Rutana,Patate douce,1227,939.4,21.0,0.49,1,0,136,8.14,3.99,1
2015,B,Rutana,Sorgho,1167,661.8,23.1,0.98,0,0,91,0.65,0.64,0
2015,B,Rutana,Bananier,1210,,22.3,3.13,0,0,176,5.05,15.81,0
2015,B,Ruyigi,Maïs,1400,865.4,21.1,1.26,1,0,149,1.41,1.78,1
2015,B,Ruyigi,Haricot,1304,631.4,20.5,1.1,0,0,120,0.55,0.61,0
2015,B,Ruyigi,Manioc,1360,848.2,20.5,0.56,1,0,98,12.61,7.06,1
2015,B,Ruyigi,Patate douce,1368,733.4,21.0,3.54,0,0,82,6.02,21.31,1
2015,B,Ruyigi,Sorgho,1371,663.4,23.2,4.43,0,0,140,0.72,3.19,0
2015,B,Ruyigi,Bananier,1315,817.1,20.7,4.06,0,0,52,5.88,23.87,1
2015,B,Cankuzo,Maïs,1394,865.5,20.8,3.44,1,0,84,1.76,6.05,1
2015,B,Cankuzo,Haricot,1381,672.2,23.0,1.25,1,0,99,0.86,1.07,1
2015,B,Cankuzo,Manioc,1350,1003.3,21.0,0.96,0,0,136,8.44,8.1,1
2015,B,Cankuzo,Patate douce,1448,747.3,22.1,2.55,0,0,59,5.91,15.07,1
2015,B,Cankuzo,Sorgho,1354,834.7,21.5,2.38,0,0,89,0.86,2.05,1
2015,B,Cankuzo,Bananier,1386,725.9,20.3,2.5,0,0,144,6.34,15.85,1
2015,B,Bururi,Maïs,1870,737.7,18.6,3.32,1,0,90,1.56,5.18,1
2015,B,Bururi,Haricot,1904,686.6,19.3,3.11,,0,97,1.02,3.17,1
2015,B,Bururi,Manioc,1907,762.1,17.7,1.57,0,1,107,9.83,15.43,1
2015,B,Bururi,Patate douce,1914,723.0,21.1,3.53,0,0,90,4.83,17.05,1
2015,B,Bururi,Sorgho,1911,851.3,20.7,2.84,0,0,135,1.06,3.01,1
2015,B,Bururi,Bananier,1926,577.3,19.8,2.18,0,1,159,6.81,14.85,1
2016,A,Bujumbura Rural,Maïs,825,829.9,23.0,1.68,0,1,67,1.34,2.25,1
2016,A,Bujumbura Rural,Haricot,816,754.8,22.4,0.54,,0,116,0.62,0.33,1
2016,A,Bujumbura Rural,Manioc,809,996.3,23.5,0.57,0,1,135,11.84,6.75,1
2016,A,Bujumbura Rural,Patate douce,882,918.5,23.8,4.04,0,0,35,5.61,22.66,1
2016,A,Bujumbura Rural,Sorgho,883,932.7,22.7,4.47,0,1,72,1.18,5.27,1
2016,A,Bujumbura Rural,Bananier,854,,21.7,1.34,1,1,43,9.69,12.98,1
2016,A,Gitega,Maïs,1692,937.2,20.7,2.79,0,0,27,1.46,4.07,1
2016,A,Gitega,Haricot,1789,975.5,20.9,1.51,0,0,96,0.9,1.36,1
2016,A,Gitega,Manioc,1720,914.7,20.7,3.07,1,0,30,10.63,32.63,1
2016,A,Gitega,Patate douce,1761,882.0,18.0,4.25,0,0,96,5.87,24.95,1
2016,A,Gitega,Sorgho,1713,939.4,19.4,3.87,1,0,133,1.6,6.19,1
2016,A,Gitega,Bananier,1721,857.3,20.2,0.63,0,0,152,7.1,4.47,1
2016,A,Ngozi,Maïs,1686,907.4,20.2,0.61,0,0,158,1.47,0.9,1
2016,A,Ngozi,Haricot,1627,1011.7,22.5,0.79,0,0,77,0.77,0.61,1
2016,A,Ngozi,Manioc,1630,735.1,20.1,1.9,0,0,81,6.86,13.03,1
2016,A,Ngozi,Patate douce,1697,1126.7,21.3,1.86,,0,71,5.31,9.88,1
2016,A,Ngozi,Sorgho,1674,824.0,20.0,0.94,1,0,77,1.26,1.18,1
2016,A,Ngozi,Bananier,1692,935.4,19.8,1.01,0,0,154,6.04,6.1,1
2016,A,Muyinga,Maïs,1532,1067.6,20.6,3.82,1,0,27,2.1,8.02,1
2016,A,Muyinga,Haricot,1451,799.3,21.3,0.55,,0,138,0.74,0.41,1
2016,A,Muyinga,Manioc,1502,1072.0,21.1,1.45,0,1,125,12.39,17.97,1
2016,A,Muyinga,Patate douce,1474,676.7,20.6,1.79,0,1,118,6.39,11.44,1
2016,A,Muyinga,Sorgho,1488,830.6,19.6,3.05,0,0,38,0.77,2.35,1
2016,A,Muyinga,Bananier,1460,988.5,20.3,3.59,0,0,39,6.84,24.56,1
2016,A,Kirundo,Maïs,1468,1027.1,20.5,0.5,1,0,154,1.65,0.82,1
2016,A,Kirundo,Haricot,1455,910.7,22.1,3.75,0,0,159,0.8,3.0,1
2016,A,Kirundo,Manioc,1449,823.5,22.3,0.89,0,0,143,8.18,7.28,1
2016,A,Kirundo,Patate douce,1457,812.3,21.4,1.97,0,1,84,5.48,10.8,1
2016,A,Kirundo,Sorgho,1450,1041.5,20.9,3.15,0,1,173,1.15,3.62,1
2016,A,Kirundo,Bananier,1480,1010.6,20.2,1.63,1,1,93,10.78,17.57,1
2016,A,Kayanza,Maïs,1961,998.3,20.3,2.63,0,1,105,,,
2016,A,Kayanza,Haricot,2002,896.1,19.1,4.08,0,0,161,0.86,3.51,1
2016,A,Kayanza,Manioc,1984,905.0,20.3,0.57,0,0,138,8.97,5.11,1
2016,A,Kayanza,Patate douce,2028,840.2,19.4,1.58,0,0,173,6.13,9.69,1
2016,A,Kayanza,Sorgho,2005,1045.3,17.9,4.39,1,0,66,1.45,6.37,1
2016,A,Kayanza,Bananier,2031,961.4,18.2,1.32,0,0,115,6.65,8.78,1
2016,A,Muramvya,Maïs,1819,1028.3,21.2,0.41,0,0,68,1.4,0.57,1
2016,A,Muramvya,Haricot,1802,977.7,19.8,1.57,1,0,123,1.14,1.79,1
2016,A,Muramvya,Manioc,1811,811.6,19.5,4.18,0,0,24,8.61,35.99,1
2016,A,Muramvya,Patate douce,1760,828.4,20.6,3.09,1,0,159,8.15,25.18,1
2016,A,Muramvya,Sorgho,1846,837.3,21.1,0.74,1,0,147,1.25,0.93,1
2016,A,Muramvya,Bananier,1836,876.6,19.1,1.75,1,0,121,8.25,14.44,1
2016,A,Mwaro,Maïs,1993,1014.9,19.9,2.21,1,0,136,2.25,4.97,1
2016,A,Mwaro,Haricot,1990,1060.0,20.5,3.02,0,0,77,1.01,3.05,1
2016,A,Mwaro,Manioc,1954,1031.9,19.3,2.0,1,0,125,11.22,22.44,1
2016,A,Mwaro,Patate douce,1900,1064.7,19.5,3.46,0,1,41,7.64,26.43,1
2016,A,Mwaro,Sorgho,1925,855.9,19.7,3.92,0,0,167,0.98,3.84,1
2016,A,Mwaro,Bananier,1922,1023.3,20.1,1.55,0,1,49,7.66,11.87,1
2016,A,Bubanza,Maïs,777,838.9,22.5,2.06,1,1,62,1.7,3.5,1
2016,A,Bubanza,Haricot,751,900.0,23.1,1.62,0,1,106,0.83,1.34,1
2016,A,Bubanza,Manioc,779,1027.7,23.2,2.38,0,0,140,9.48,22.56,1
2016,A,Bubanza,Patate douce,758,1022.3,23.0,2.22,0,0,43,6.01,13.34,1
2016,A,Bubanza,Sorgho,776,694.0,23.1,3.49,0,1,123,1.13,3.94,1
2016,A,Bubanza,Bananier,787,1024.9,23.2,0.67,0,1,75,9.73,6.52,1
2016,A,Cibitoke,Maïs,840,794.4,22.7,2.89,0,0,160,1.02,2.95,1
2016,A,Cibitoke,Haricot,787,967.9,21.6,2.46,0,0,120,0.61,1.5,1
2016,A,Cibitoke,Manioc,766,869.1,23.0,0.91,1,1,115,12.73,11.58,1
2016,A,Cibitoke,Patate douce,831,902.0,23.6,1.99,0,0,131,,,
2016,A,Cibitoke,Sorgho,849,922.9,22.9,4.38,0,0,151,0.63,2.76,0
2016,A,Cibitoke,Bananier,786,1078.1,22.8,2.68,0,1,27,9.35,25.06,1
2016,A,Makamba,Maïs,1052,1070.9,23.6,2.15,1,0,66,1.95,4.19,1
2016,A,Makamba,Haricot,1085,897.1,23.0,0.65,0,0,28,0.7,0.45,1
2016,A,Makamba,Manioc,1079,,22.6,0.7,1,1,166,14.21,9.95,1
2016,A,Makamba,Patate douce,1104,1084.3,22.0,1.26,1,0,41,7.88,9.93,1
2016,A,Makamba,Sorgho,1149,1002.2,20.7,2.99,0,1,159,1.31,3.92,1
2016,A,Makamba,Bananier,1069,912.7,23.4,2.16,1,0,50,8.02,17.32,1
2016,A,Rutana,Maïs,1204,884.2,22.4,1.46,,0,168,1.51,2.2,1
2016,A,Rutana,Haricot,1188,812.7,22.3,1.09,0,0,76,0.75,0.82,1
2016,A,Rutana,Manioc,1226,1138.2,22.6,0.35,0,0,114,10.17,3.56,1
2016,A,Rutana,Patate douce,1248,793.0,22.8,0.36,1,0,116,7.83,2.82,1
2016,A,Rutana,Sorgho,1203,802.2,22.4,2.99,0,0,36,0.77,2.3,1
2016,A,Rutana,Bananier,1200,1043.5,20.8,3.03,0,0,126,6.31,19.12,1
2016,A,Ruyigi,Maïs,1311,968.6,21.4,2.87,1,0,59,1.78,5.11,1
2016,A,Ruyigi,Haricot,1366,1046.7,20.0,1.39,0,0,83,0.72,1.0,1
2016,A,Ruyigi,Manioc,1342,950.7,20.9,0.57,0,0,34,7.73,4.41,1
2016,A,Ruyigi,Patate douce,1320,,21.6,2.71,0,0,145,,,
2016,A,Ruyigi,Sorgho,1305,799.2,21.8,0.93,0,0,156,0.88,0.82,1
2016,A,Ruyigi,Bananier,1392,740.2,20.7,2.7,1,0,28,9.39,25.35,1
2016,A,Cankuzo,Maïs,1401,1041.9,21.7,1.49,0,0,156,1.1,1.64,1
2016,A,Cankuzo,Haricot,1381,950.0,20.4,2.37,0,0,154,,,
2016,A,Cankuzo,Manioc,1402,1068.3,21.5,2.97,0,1,100,12.98,38.55,1
2016,A,Cankuzo,Patate douce,1417,922.5,22.1,4.34,0,0,86,5.85,25.39,1
2016,A,Cankuzo,Sorgho,1416,702.8,22.2,2.23,0,0,144,0.92,2.05,1
2016,A,Cankuzo,Bananier,1366,1083.6,21.5,1.62,0,0,98,7.55,12.23,1
2016,A,Bururi,Maïs,1875,1078.8,20.8,0.76,1,0,95,1.95,1.48,1
2016,A,Bururi,Haricot,1883,1026.6,19.9,3.69,1,0,169,1.18,4.35,1
2016,A,Bururi,Manioc,1861,866.8,17.8,1.96,1,0,59,12.27,24.05,1
2016,A,Bururi,Patate douce,1909,969.2,20.8,0.81,1,0,71,9.02,7.31,1
2016,A,Bururi,Sorgho,1930,993.0,19.4,2.76,0,1,31,1.46,4.03,1
2016,A,Bururi,Bananier,1892,1108.3,21.1,0.51,0,0,116,8.3,4.23,1
2016,B,Bujumbura Rural,Maïs,845,728.0,23.7,1.48,0,1,173,1.14,1.69,1
2016,B,Bujumbura Rural,Haricot,811,615.6,23.2,1.14,0,0,154,0.62,0.71,1
2016,B,Bujumbura Rural,Manioc,845,540.8,23.4,1.74,0,1,84,9.09,15.82,1
2016,B,Bujumbura Rural,Patate douce,807,791.5,23.6,1.8,0,1,55,6.11,11.0,1
2016,B,Bujumbura Rural,Sorgho,894,1030.7,23.9,1.22,0,0,59,0.95,1.16,1
2016,B,Bujumbura Rural,Bananier,803,831.9,23.1,2.68,1,0,141,7.59,20.34,1
2016,B,Gitega,Maïs,1697,755.5,20.9,2.51,1,0,66,1.85,4.64,1
2016,B,Gitega,Haricot,1697,662.3,21.4,4.15,0,0,108,0.75,3.11,1
2016,B,Gitega,Manioc,1740,671.9,19.8,1.65,0,0,126,8.5,14.02,1
2016,B,Gitega,Patate douce,1778,505.5,20.9,1.8,0,0,111,4.32,7.78,0
2016,B,Gitega,Sorgho,1783,906.9,20.1,2.71,0,0,160,1.23,3.33,1
2016,B,Gitega,Bananier,1762,777.9,20.9,1.69,1,0,96,8.81,14.89,1
2016,B,Ngozi,Maïs,1690,669.7,19.2,1.71,1,0,32,1.58,2.7,1
2016,B,Ngozi,Haricot,1653,888.1,22.1,2.37,0,0,40,0.78,1.85,1
2016,B,Ngozi,Manioc,1697,725.0,19.9,0.61,0,0,96,8.06,4.92,1
2016,B,Ngozi,Patate douce,1609,791.3,19.0,0.69,0,0,138,5.25,3.62,1
2016,B,Ngozi,Sorgho,1677,792.1,20.1,0.73,1,0,156,1.37,1.0,1
2016,B,Ngozi,Bananier,1606,584.9,19.9,2.36,1,1,37,10.09,23.81,1
2016,B,Muyinga,Maïs,1475,794.8,21.4,2.98,0,0,44,1.06,3.16,1
2016,B,Muyinga,Haricot,1519,834.7,20.4,1.9,1,1,127,1.43,2.72,1
2016,B,Muyinga,Manioc,1457,828.2,22.1,0.71,0,0,120,9.5,6.74,1
2016,B,Muyinga,Patate douce,1503,715.7,22.2,4.23,0,0,91,5.14,21.74,1
